User_ID,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d
USER_1834,7,437.63,3
USER_7875,13,478.76,4
USER_2734,14,50.01,4
USER_2617,8,182.48,4
USER_2014,14,328.69,4
USER_6852,3,226.85,2
USER_5052,2,298.35,2
USER_4660,3,164.38,4
USER_1584,7,90.02,3
USER_9498,6,474.42,1
USER_2848,4,397.58,0
USER_6860,14,278.55,1
USER_6728,6,483.58,4
USER_6655,11,152.63,2
USER_7651,6,173.97,0
USER_1248,1,17.85,2
USER_9349,12,457.42,3
USER_9413,13,309.49,1
USER_5861,4,491.21,4
USER_5939,9,163.5,3
USER_5566,13,179.73,3
USER_4615,4,482.2,4
USER_3832,12,283.43,0
USER_9751,2,36.46,2
USER_9775,3,233.6,4
USER_6725,4,495.1,0
USER_3085,1,382.67,2
USER_7987,14,226.9,1
USER_1116,9,298.73,4
USER_8088,9,434.91,2
USER_4147,13,42.42,2
USER_7419,14,268.08,0
USER_7666,8,277.53,3
USER_5135,11,66.4,1
USER_8041,14,69.19,1
USER_2155,5,191.11,2
USER_5843,7,139.86,0
USER_2756,9,198.16,2
USER_4265,10,292.42,4
USER_7471,8,266.86,2
USER_8456,10,389.23,0
USER_5964,2,181.3,2
USER_8631,2,424.38,1
USER_3125,13,329.74,4
USER_8150,5,434.42,4
USER_8968,13,368.53,3
USER_6129,6,363.3,0
USER_6910,4,128.02,3
USER_6343,13,23.77,2
USER_4369,3,362.81,3
USER_5004,3,282.11,3
USER_1299,14,296.52,4
USER_5589,5,403.13,3
USER_4320,11,449.66,2
USER_7970,3,391.4,0
USER_7335,9,184.97,3
USER_1353,5,286.61,1
USER_7190,4,376.23,0
USER_9641,5,278.72,1
USER_7599,5,423.67,3
USER_1490,11,261.18,2
USER_9717,10,380.6,2
USER_3789,5,397.31,2
USER_3467,13,130.04,0
USER_1329,3,54.98,2
USER_4932,4,459.11,1
USER_5318,3,464.6,0
USER_7101,10,342.54,3
USER_7646,10,37.39,1
USER_8482,11,338.59,2
USER_6828,13,302.64,3
USER_3415,11,376.21,3
USER_1296,7,115.09,3
USER_8825,7,316.12,0
USER_2051,4,109.07,2
USER_9409,10,319.69,0
USER_5520,10,24.57,2
USER_2517,6,418.15,3
USER_2084,1,377,1
USER_5180,2,159.98,0
USER_6874,14,324.54,0
USER_3288,14,60.8,1
USER_2399,10,282.28,4
USER_3739,12,373.92,4
USER_5231,5,359.54,1
USER_1970,1,230.41,2
USER_1362,10,204.59,4
USER_7002,5,449.24,2
USER_6333,10,232.91,0
USER_2927,3,58.34,2
USER_4250,1,57.26,1
USER_1586,5,495.11,1
USER_9555,11,68.46,3
USER_9814,1,130.51,1
USER_9781,10,440.03,0
USER_5143,12,260.55,1
USER_6868,9,386.62,3
USER_8955,4,355.47,1
USER_9104,2,470.64,0
USER_3053,7,233.36,2
USER_4414,2,105.64,0
USER_2530,3,476.31,2
USER_5978,8,373.39,0
USER_7333,13,293.03,1
USER_7982,1,131.59,1
USER_1081,8,394.36,3
USER_8172,14,84.89,1
USER_8784,4,47.79,2
USER_1446,9,227.36,1
USER_5144,8,478.76,1
USER_6056,4,107.26,4
USER_5047,1,131.17,3
USER_2545,14,465.49,1
USER_1455,9,292.94,3
USER_5937,14,228.01,0
USER_1555,10,34.74,4
USER_7021,2,270.04,0
USER_5459,5,492.31,2
USER_4575,9,258.53,1
USER_7422,4,79.03,1
USER_7275,4,136.02,3
USER_3374,2,21.14,0
USER_8445,2,51.4,3
USER_5604,10,375.95,1
USER_1941,6,327.31,0
USER_1872,13,71.66,4
USER_9632,6,127.39,4
USER_6371,11,332.4,3
USER_1509,13,277.96,0
USER_8062,5,151.98,0
USER_7132,7,86.6,1
USER_3555,8,77.57,0
USER_5365,6,177.07,0
USER_8432,14,124.97,2
USER_9628,3,111.29,4
USER_3454,6,15.74,1
USER_2488,3,27.19,1
USER_2520,4,356.78,0
USER_3767,3,209.73,4
USER_6354,1,380.62,0
USER_7966,14,29.4,4
USER_7795,3,126.65,2
USER_1325,8,281.45,0
USER_9174,10,274.94,4
USER_2725,2,67.54,3
USER_1564,12,155.72,1
USER_8972,4,206.5,3
USER_4815,2,452.58,1
USER_5102,10,236.75,4
USER_2386,4,484.92,3
USER_7058,14,10.28,0
USER_2767,13,10,4
USER_9455,6,403.46,3
USER_7308,4,347.35,1
USER_4376,8,287.19,1
USER_5471,3,441.96,3
USER_4963,2,321.48,3
USER_7763,5,351.34,0
USER_2714,4,494.79,4
USER_6956,8,155.47,1
USER_5261,7,158.73,2
USER_3529,9,409.11,4
USER_9418,11,424.95,0
USER_4574,13,70.46,3
USER_6999,11,315.57,3
USER_1687,1,462.86,4
USER_8884,9,106.06,2
USER_9392,1,193.5,0
USER_8589,6,326.03,4
USER_8572,12,129.11,0
USER_7567,6,10.31,2
USER_4321,12,63.67,3
USER_9845,5,325.07,4
USER_6854,3,122.7,3
USER_6108,2,413.55,0
USER_6641,12,254.87,0
USER_3834,14,495.48,0
USER_4864,14,185.67,1
USER_6688,14,497.79,3
USER_9070,6,229.49,2
USER_2793,6,356.61,3
USER_4863,5,94.12,0
USER_7142,14,377.67,2
USER_2597,12,84.02,4
USER_6079,3,235.83,1
USER_4370,6,457.1,3
USER_2030,8,129.07,1
USER_3127,5,467.5,3
USER_7640,13,61.04,2
USER_3389,5,307.9,4
USER_8090,3,425.73,2
USER_7975,14,232.07,1
USER_2846,11,207.57,3
USER_7869,6,368.61,3
USER_5350,12,192.13,0
USER_8026,4,45.2,1
USER_6545,3,439.77,4
USER_8235,5,451,1
USER_9812,10,271.4,4
